text,sentiment
ghe mujhe pasan nahi hai,Negative
mdm aapki voice bhut pyari h ❤ ❤ ❤ mdm rasgolla kse bnaye q ki mere bnaye hue to mote hi nahi hote mtlb ki chasni ni piite,Positive
basmati chawal hai ??,Neutral
mem please fish pkoda bna ne ki recipe bhi btaaiye,Neutral
very nice recipe mein apki sari videos dekhti hu apki sari videos bahut achi hai love frm goa,Positive
mam 25 logo ke liye kitna basmati chawal lagega or kitna pani??,Neutral
very nice madam aapka voice bahut sweet,Positive
hot ki cold,Neutral
ye ek gass chaval ka pulaw h or agar hame teen glass chaval ka banana h tab kitna pani use hoga koi bataye plz,Neutral
kitna acha pulao hai,Positive
very nice di,Positive
nahi blkul achchcha nahi h aese nahi bnta,Negative
wah bhut hi aasan trika bataya aapna dhanyavaad,Positive
proud jeera dal sakte hain,Neutral
aap mircha dalna bhul gai kya,Neutral
very nice me v try krungi,Positive
apke bolne or samjhane ka tarika bahut hi anokha hai thank u mam,Positive
thnk u mam i tried first time n it s cooked awesome mmmmuuuuaaaahhhhhh lov u a lot mam bht acha bana mera pulao,Positive
very nice di agar 2 glass chawal hai to pani kitna dallay or peeli moongi daal ki khichri ki recepi b btao di,Neutral
aap ne to mirchi dali nahi,Neutral
upar se fried onions daalkar serve karen toh aur bhi tasty ho jaata hai peas pulao is my favourite i like to eat it with toor dal fry or chole :,Positive
main bahut achcha banaya aap ki tric se bahut achcha hai,Positive
bina cooker ke kaise banaye,Neutral
aapki aawaj bahut achi hai aur aap bahut achhe se samzati hai,Positive
tej pta v nahi h ghee v nahi h bhut sare chij nahi h to kya kre,Neutral
matter nahi h hamre yha kux or dal skte b,Neutral
bahut swadisht polaav banaa h,Positive
chili use ni ki ap ne,Neutral
hello mam app ka sara recipe acha lag te hai,Positive
kaju ko skip kr skte h kya,Neutral
thanku mam aap bahut achhe se batati hai aur wo aasani se samangh me aa jata hai maine aapka mitha palow v try kiya bahut tasty bana,Positive
bahut acha,Positive
bahut achcha laga aapka recipe,Positive
just wow i can t believe that mere hath se itna acha rice bana aaj thank you so much it was very testy n nice look alsovery nice recipe,Positive
bahut hi achcha banata aapka mutton pulao,Positive
bohut easy hai ye toh nice,Positive
mujhe yeh bahut pasand hai,Positive
mirch kb daalna hai,Neutral
zeera q nahi dale zeera dalne se to or acha test aayega na ?,Neutral
app ka video mujhe bahat achi lagi,Positive
di aap ne kaun sa basmati rice liya hai uska naame kya h,Neutral
cawal ko phale sei panii mei rakh dena chaiye kya,Neutral
ma am aapne salt use nahi kiya??,Neutral
nice kabita lagey raho,Positive
mam mithi pulao plz dekhe na,Neutral
kitna tasty bana,Positive
mam kitni siti deni h rice cooker ko agar quantity of rice 3 glass krde tohh ??plz ans,Neutral
mam ky basmati k badly saada chawal use krsakhty hai,Neutral
acha nahi bna,Negative
madam aap ka fridge kitne litre ka hai,Neutral
k bina namak k khaye mam,Neutral
namak nahi dalega kya,Neutral
aap bhout mast dishes banata ho,Positive
mam agr hame iski quantity ko badhana ho to kya hum sabhi ingredients ko ussi ratio me bdha denge???jese 8 10 logo ke liye,Neutral
namk last m add karna h matar fry hone k bad add kar skte h kya,Neutral
ma a iski curry ki recipe bhi to btaiye?,Neutral
madam aap khana bahut acha banati ho,Positive
aacha bnaya aapne,Positive
mam agar chota chawal le rhe h to bhi 2siti lagana parega?,Neutral
hum humesha apko follow karte hai ap bahuth ache sae samjhati hai thank u simple simple gharelu recipes k liye,Positive
thank you ma am lockdown m ek dish to sikh gye ty,Positive
mujhe to bht achi lagai ye recpie,Positive
aapka video dekha maine abhi try karte hai dekh kar bahut acha lag raha hai,Positive
apka naam kabita h ya kavita,Neutral
ek dum tasti hai,Positive
mst pulau h y,Positive
yea spice hai ky ???,Neutral
chawal pulao soft kaise banaen,Neutral
tere baap ne kabhi banaya tha kya,Negative
acha hai thanks,Positive
resipi bhi achi hai or aapki aawaz or bhi achi thanks for the cooking,Positive
thankyou mam mujhe nii aata tha pulao banana but apne bhot acchi treh btaya,Positive
same aise hi mai bhi bnati hu,Neutral
mam apka respy bhut esy hota h or testi bhi,Positive
behan ji chawal jud kiun jate hain,Neutral
ap to lajawab hai ma am koi match nahi apka aur apki recipes ka,Positive
kya ye wala pulao chicken ke sath khaa sakte hai,Neutral
chawal konsa mam?,Neutral
mem agar ham roj wale chawal le to kya esi trah banega ya begad jayga,Neutral
mene aaj hi ye pulav banaya aur it s really delicious muze doubt tha k kaise hoga kya hoga ?? but acha huaa,Positive
2 3 kg chaval ko kitana samugri material lagega please reply,Neutral
didi aap bahut acchi resipe btate ho,Positive
pani km h rice m or do siti jayada lgva rhe ho,Neutral
thank you mam mere ghar mein aaj koi nahin main matar pulao banaya aapko dekhkar,Positive
hari mirch nahi dali,Neutral
mam aapka method lajawab and lajij hai i m always following ur recipe 5 star,Positive
i made matar pulao tdy it tasted awesome but thoda kaccha reh gaya 2 whistle lagaya tha and 10 minutes rice bhigoya bhi tha what cud b the reason kavita ma am?,Neutral
bahut atcha laga thanks aisa lagta hai ki kabhi aapke wahan aao khana khane ke liye,Positive
bahut hi aacha,Positive
pagal lgti ho tum,Negative
bahut aacha,Positive
aap bahut achi tarah se samjhati hai aapki aawaj bhi mitthi hai,Positive
ekdam easy me yahi banati hu,Positive
main bhi banaya matar pulao lunch mein bahut bahut bahut testi shukriya recipe batane ke liye,Positive
pulaw mujhe lagta h yeh bimaro ke liye apne banaya h feeka pulao,Negative
mam sirf dikhne m acha ho isse mtlb nahi hai proper pakna bhi chahiye apki recipe se mere rice kache rhgye,Negative
so tasty i tried this very delicious aapke haato mein jadu hai,Positive
ye to chawal bana diya kuch bhi nahi dala,Negative
agar ise hum kadhai ya pan mein banaye to taste mein difference aayega kya ?,Neutral
yummy and delicious recipe thanku mam mere husband ko yeah dish bhut pasand aayi,Positive
matar pasand nahi hai dale ya nahi,Neutral
waah mam shaandar,Positive
hello mam mene apna ek kitchen open kiya abhi kuch hafto phle jisme hum logo ko healthy food provide krte hai humara khana bina oil ke prepare kiya jata hai but mam jo taste oil wali dishes me ata hai vo taste nahi aa pa rha dishes me so aap kuch suggest kr sakti hai jiske through bina oil ki sabzi bhi tasty bnayi ja sake thank you,Positive
kavitaji me aapki har recipe dekhatahu pan aap jese nahi bana patahu,Neutral
mam aapki recipe ke sath sath aapki abaj bhi bahut achi h,Positive
lajawab rasepe,Positive
maine try kiya rly yummmm,Neutral
waao delicious moo me paani agay mere to,Positive
wow aap bhut acha pulao banati h very tasty,Positive
maine bhi bnya bahut hi badiya tha thanks for teaching me this kind of recepe,Positive
matar paneer k sath matar pulav aaj ka dinner menu thanks in advance,Positive
kindly tell me aap ny mirchain ni daali to kia ye taste m pheeka ni lgta???,Neutral
actually ma am i think ap bihar se ho bihar me usna chawal bahut khate h log aor wo chawal der se pakta h mai chawal pasa k banati hu but wo gila ho jata h ap plz kuch tips dijiye usna chawal jldi gila nahi hota h,Neutral
apa bindi lagao mam ji bcoz ur married and bindi lagane se aur p acha lagenge,Neutral
apki recpi mast h but apka ghar bahut acha h di,Positive
aapki sari hi recipe s bhut acchi hoti hai,Positive
ma m very very thanks to u meri nyi nyi shadi ho gayi he aur aaj hi maine ye rice banaya ekeam hotel jaisa bana he huge huge thanks,Positive
gas to on kiya hi ni,Positive
mam aapki sabhi recipe bahut delicious hoti hai mujhe aapke method se bani hui sabhi recipes bahut bahut bahut jayada tasty lagti hai thank you mam for share delicious recipes,Positive
bahut atcha,Positive
wah madam g wah perfect for bachelors will try it this weekend,Positive
texture bht badiya,Positive
maine eid pe ye bnaya the bhot hi acha bna tha,Positive
kabita ji aj maine pulav bnaya same apke method se or mere husbsnd to mera bht tarif kr rahe t or bole ki y kabita ji k kamal h kr k thankuuuu so much mam for this recipie,Positive
didi agar do gelas chaval bnana ho to kitna pani dalna hai,Neutral
thanks diii bahut acha bna maine banaya,Positive
acha laga ba nene ke like bhi share hoga,Positive
bahut achi banai h maym,Positive
jeera use ni kr skte kya??,Neutral
maine ye respi try ki bahut hi aachi bani very very thanks,Positive
hi mam ek liye kitna quantity lagega,Neutral
mirchi hi nahi dala apne,Neutral
wao so sweet muh mai pani aa gaya g thanks,Positive
ma am main agar polao ka chawal matlab govindo bhog rice use karu to kya acha banega? kitna sitti lagana hoga cooker mein ?pls bataye,Neutral
madam doosro me tasoi me roz kya banta gain nazara n mare apne gharon me khane ya dhyan de kyoki jo log log doosro me gharo me take jhank karte chorus sendhmar nichler str me log kaehlaters,Neutral
aap product review v kro didi,Neutral
maine banaya tha kal garam masala ka taste aagya tha jabke saari chiz maine itne hi daala the jitna video me h,Negative
hello mam me bahut try karti hun but rice khila khila nahi hota chipak jata he kya karun plz help,Neutral
bahut acha hai,Positive
masale nahi dlne kya,Neutral
main tumhara plough ka recipe banaya aur mera pyar ka recipe bahut acha warna thank you for this video,Positive
easy hai lakin mast hai,Positive
mam apke vidio ki saund bhut km ata h,Negative
yes me new year ke din banongi,Neutral
kavita ji mujhi apki sabhi recipe achi lgti hai,Positive
badiya rice banaya mam,Positive
thik thik h,Neutral
mirch to dali hi nahi,Negative
i am so foody or aapki dish dek kar tho pani hi aa jata hai,Positive
main kal hi ishe banaugi,Neutral
apne isme mirchi nahi dali,Neutral
maine aj banaya yeh recipe bhut acha bana h thank you mam,Positive
rice konse h mem,Neutral
video bahut achchhi hai,Positive
bhut hi acchi lagi ye recipe apka sara recipe acchi hi hoti hai,Positive
mam ye fika pach lagega is m mirchi nahi h paccho k thik h,Negative
maine bhi ye try ki thi osm and very testy,Positive
mene bhi isi trah banaya h bahut h mazedaar bana thanks,Positive
maam hm bnate h to chena balls toot jata h sugar soltuion m,Neutral
mam aapko share kijiye na ots makhane haldi aur pure meve mix karke kesar bagaira dalkar jo aap dudh mein uthate hain aur fir uska powder banakar rakhe the fir dudh mein uthate hain fir usko gud dal ke khate hain wali recipe aap fir se share karen 4 sal pahle mujhe mili thi vah recipe,Neutral
mam gaye ki jaga bhais k dudh se bna le kiya qki hum gaao m h hmra pure bhas ka dudh aata h,Neutral
maddam aap topic kaha se late ho,Neutral
aap bahut achi ho ma am,Positive
meri rasmalai baar baar tut jati hai chasni mai daalne mai,Neutral
bahut hi lajavab mam,Positive
thenkyou mem bahut malaydar recipe batay apne,Positive
ham recipe dekh ke banaye lekin mera rasgulla tut gya,Negative
kon kon 2025 me dekh raha hai,Neutral
agr doodh automatically normal temperature ki wajh se fatt jaye to kya bna skte h,Neutral
kaise recepi deti h ap log maine same process kiya tab bhi sari ras malai tot ke sheere me mi gyi,Negative
corn flour nahi dala to chale ga kay mere pas nahi hai,Neutral
di milk nahi fata hai bilkul bhi mera to waste ho gya,Negative
cornflour ki jgh kuch or daal skte hn kya?,Neutral
mera chena dahi jaisa bn gya esa kyu hua hoga,Neutral
kya isme soda dal sakte,Neutral
agar app is video ko hindi me bna lete to kiya ho jata,Negative
wow mam amazing banayi hai mam ❤❤,Positive
nimbu use nahin kar sakte hain kya,Neutral
2:38 pani toh nikal hi nahi rha tha,Neutral
cornflour ka koi alternative hai?,Neutral
kya ismein bhains ka dudh use bhi nahin le sakte vinegar ki jagah nimbu bhi to dal sakte hain,Neutral
mam maida use karne ki permission dedeijiye na ??or ye bi batayi maida use karne se vo acchi banegi ya nhi?,Neutral
pehli video dekhty hy channel subscribe kr deya,Positive
yar bana to kuchh bhi le par time bahut lgta hai aur se fir shubah sham ka khana,Negative
lemon se milk nahi phad skte kya,Neutral
mera spong km soft hua h,Negative
200 rs initial cost hi aa gyi,Neutral
hamare to spongey hue nahi bahut soft the uthane me tut rahe,Negative
bahut detail se aapane recipe dikhai hai aur tips bhi de de hai ❤❤,Positive
maam corn flour na ho toh maida ya rice flour use kr skte h,Neutral
khila bhi do,Neutral
didi ye mere ghar pe pahucha do na,Positive
main to bhaisn ka dudh pita hu par,Neutral
kya ham cornflour ki jagah maida daal sakte hai,Neutral
agar cornflour nahi h to maida dal sakte h kya,Neutral
bahut acha video aur recipe ma am,Positive
har koi nahi bana sakta mem video dekhte huye aisa lagta hai ki hum banayenge easy hai magar hakiqat me aisa nahi banta har kisi se,Neutral
mere husband ki fav dish,Positive
jhooth kyu batati hai waise koi sponge nahi bnta hai,Negative
acha nh boht acha bnate ho ap har chej ❤❤❤❤❤❤,Positive
mam kya ham vinegar ki jagah nimbu ka ras dal sakte hain,Neutral
total wrong recepi aapne kaha 3 half cup water maine utna hi liya same banaya pura rabdi bhi acha bana pr ye balls pure jal gye same step follow kiya fir bhi next time se barabar measurement batayiga,Negative
cornflour dalna compulsory hai kya ? nahi ho toh kya add kr sakte hai ?,Neutral
maine bhi bnaya tha bht tasty bani hai spongy,Positive
bhaut hi good recipe mein bhi try karugi thanks for simple recipe ❤❤❤,Positive
didi apki voice bohut acchi hai,Positive
ma aj banungi,Neutral
khane se zyada banane mein vkt zyada haii,Neutral
aaj maine ye rasmalai bnayi apke bataye timing trick se mere family bhut khus ho gye delicious bna thank u mam❤❤,Positive
m bhi banaungi ❤,Positive
mera to vinegar se nahin fatata dudh,Negative
chena chashni m daalte hi phel gya kya krein ??,Neutral
shivratri par bhole baba ko bhog lagaungi aapki hi recipe se rasmalai banaugi,Positive
agar corn flour na ho to,Neutral
wow mam very nice par mere ghar pe itni mehnat koi nahi karega,Positive
toot gaya sara,Negative
madam main bhi aaj yah rasmalai trai ki bahut achcha banaa,Positive
cup ki jagah grams m batao chini,Negative
madam itna lamba video ni hona chahiye itne se process k liye,Negative
last me muh me pani aa gya,Positive
main bhi try karugi,Positive
khila do mam rasmali,Positive
mam meri rasmalai dukaan jesi soft nahi bani thori hard hai iska kya solution hai?,Neutral
bekar bilkul b achi nahi banti tut jate h gulab jamun,Negative
mam ab tak do bar banaya phir bhi acha nahi aye jo rasgula hi woh hard hojata sabhi steps maine follow kiya correct se rabri toh achi banti hi phir se main kabhi nahi try karungi fed up,Negative
itna time waste karne ke bajaye bahar se lekar kha lenge,Negative
mene bnayi thi but wo to pani m ghul gyi,Negative
maine bhi aapki recipe try krke bnayan bahut achi bhi i am happy ❤❤,Positive
aap ne ye nahi bata ya ki milk me water dalna ha ya nahi,Neutral
chini ki matra aap weight me bataye cup ke hisab se samajh nahi aa raha aapka cup aur hamara cup ek hi size ka nahi ho sakta,Neutral
maine aaj 2 2 bar try ki dono bar bekar 1st time hard bahut 2nd time soft itni chashni me dalte hi tut gyi mai cooking me achi hu life me 1st time kuchh bekar bnaaa,Negative
aapki mujhe sari videos acchi lagti hai aur bahut acche se main dekhti hun aur aapka batane ka tarika sabse best hai thank you for sharing❤❤❤❤❤❤,Positive
didi mane bhi try kiya tha bot hi tasty bna tha thnku so much for your recipe ❤,Positive
keya mam rusmalai ko 1 day ke liye store ker sakte hi,Neutral
maim mera rasmalyi suger syrup me jane ke baad boil hone par fut jata hai kya kare,Neutral
mene banaya fha but mera bhot thick ho gaya ta bilkul sofr nahi hua same aapne kiya ahi vaise he kiya fa maam pls boliye na kya kru or yeh chasni meri bhot thick ho gyi ti or yeh colour bhi cng ho gaya tha vi pani wax ke jesa ho gya tha,Negative
wow mam bahut achi banai ras malai,Positive
mene banai thi ye achi bani thi,Positive
vinegar dalke dudh fate nahi to kya kare,Neutral
bakwas recipe hai sari rasmalai kharab bani,Negative
isay acha hi paneer lao ♀ usi mi banayai r fir milk mi add kray r cornflour k badlay suji b add kr sktai hi ♀,Negative
chasni me pura fhel gya sahi se nahi bana,Negative
rasmalai break ho gyi h,Negative
hello mam very nice recipe muje iss rakshabandhan par rasmalai banani hai rabadi thik karne k liye kya hum thodasa custard powder use kar sakte hai kya,Neutral
didi aap music khan se use karte ho,Neutral
ban gya ban gya sab kha lo❤❤,Positive
hlo ma am meri rasmalai gol gyi or pehle jab bnayi thi woh bhut hard thi proper btaiye ma am kya mistake rhi abki baar dough jo h bhut moisturizer h osme maine corn flour b daala per b rasmalai gol gyi pani me maine thodi choti bna kr try ki fir ab dhoop me dough ko sukha rhi ho jisse aata sakht ho jaye or rasmalai gole na or soft b bne,Negative
pagal aurat tumhare karan mera mithai jal gaya aadha k g milk barbad ho gaga be sharm,Negative
mere to chasni me hi toot gye,Negative
thank you mam aapke mawa cake recipe se mera mawa cake bahut acha bana,Positive
recipe bahut achi he mene try ki mam par mere chena ball chashni me pighal gaye kyu mam,Positive
milk ko lemon aur vinegar ke alawa aur kisse faad sakte hai?,Neutral
aap ke ghar vali ke maje hai itna kuch aacha khane ko millta hai,Positive
joe chashni bach ka use kya kya karenge,Neutral
mere muh moh toh dekhte he paani aa raha hai looking tasty,Positive
sab paani mein ghul gayi :,Negative
mujhe jo bhi bnana hota h mai aapki hi video dekhti hu aap pe trust ho gya h really aapki btayi recipe hi achi bnegi,Positive
wah maza a gaya ma am maine banai bth parfect bani❤❤❤,Positive
mam ky me sirf kaju aur almond add kr sakti hu,Neutral
meri sadi apki jesi women se ho❤❤❤❤❤,Positive
agar corn floor na ho to,Neutral
mam maine yah chhena cloth ki jagah channi mein rakha tha to jyada soft ho gaya kya karen,Neutral
good afternoon mam aap kahan per rahte ho,Neutral
good afternoon mam main abhi recipe likh rahi hun aaj banaungi mere bacchon ko yah recipe bahut pasand aati hai thank you mam,Positive
meri fevrt h ❤❤❤❤❤ bt maam bnane m bahut tym lg rh khame m to 15sec m kha jau ❤❤❤❤❤❤❤ try krenge bt,Positive
mam corn flour ki jagah pr aur kya daal skte h,Neutral
cournflour na ho to kya kre,Neutral
ye jo khana mithai drinks wagerah wagerah banane ka channel chalate hai unke ghar wale kitnze lucky hai roz roz tasty chije milti honge khane ko,Positive
vinegar naa ho to aap ada tispoon phitkri daal skte hai same kaam krta hai,Positive
thankyou beta shandar rasmalai banai hai ❤❤❤,Positive
chene me maidaa kyu daalte hai?????,Neutral
mem mere to chene ke bol chasni me dalne ke baad usi me ghul gye please mem batao ki vo hard rhe,Negative
agar vinegar nahin hai to lemon juice ka istemal kar sakte hain,Neutral
kya ham cornflour ki jagah rice flour use kr skte hain???,Neutral
kya doodh khud phat jye uski nahi bna sktey kya,Neutral
aapke husbend or bacche lucky h,Positive
haldi daalne se uska taste to nahi aayega?,Neutral
2 logo ke liye kitna dhoodh le,Neutral
mam maine banai h and believe me same aisi hi bani h thanks,Positive
thank you mam m try ki same bana h,Positive
mam meri rasmalai hard ho gaye h kyu,Negative
osm bahut hi achcha h bta rahi h aap❤,Positive
bahut badhiya,Positive
mam nibu se dudh ko fad skte h koi problem to nahi ayegi,Neutral
maine try ki thi bohat achi bani thi maine doodh fadne ke liye nimbu use kiya tha aur phir ache se dho liya bohat tasty aur easy recipe thanks you kabita s kitchen ❤,Positive
mne bhi abhi abhi bnaya h bhot achi recipe h,Positive
thank u so muchh mam mai life mai first time try it was so delicious desert mashallah love it ❤,Positive
mene bnai h ye dekhkar bht tasty bni thi yummy,Positive
mere pure kharab ho gya h,Negative
5 gante me bankar tyar hoga,Negative
maine aaj try kiya man pr mera chila bhot deela ho gya tha 2spoon cornflower dale tohi bhot deela pn tha usme ky krna chahiye tha plz muze bataiye next time fhir se muze banana hai plz reply de mam,Neutral
1 2cup sugar kitne grm hogi ma am?,Neutral
very v nice recipe dii aap ke tarha so beautiful love u di god bless you,Positive
mene bhi banai bahut tasty bani hai meri bhi ❤,Positive
meri to rash malli fut gai,Negative
maine bnaya pr vo chasni me dalne par melt ho gya,Negative
itne pese m to aahijati h matket m,Negative
nahi achi bani rasgulla phat kr pani me mil gya,Negative
iss se aacha dukan ja ke khrid ke kha lege paisa v jada lagega or banae ka v tansion dukan wala he thk h mere liye jada he mil jayga khane ko,Negative
sach me bahut hi acha bna thanks mam❤❤❤❤❤,Positive
aap bahut acche se each n every detail explain karti hai so sweet of u,Positive
dudh ki jagah pr dahi use kr sakte he kya ?,Neutral
uar hamare pas to itne paise hi nahi hote ki itne items khareedein,Negative
toh itni bakchodi kar rahi hai tu seedha paneer hi daal leti pagli,Negative
mam mene ye recipe try kiya h bt rasmalai m thoda khattapan tha pls btaiye uske kese thik kre,Neutral
meri rasmalai thori hard ho gyi mujhe smjh nahi aara q,Negative
because frig me rakhkar har mithai sakht ho jaati hai frin se nikal kar turant nahi khani chahiye,Neutral
bina freeze ke ye kab tak kharab nahi hota,Neutral
kon podar kon dalta hi puri rasmalai karab hogai meri,Negative
ye recipe bahut kaam aayi mere ❤,Positive
meri rasmalai to pani mein ubalte waqt ki sari khul gai,Negative
maim address bhejdo khane araha hu,Neutral
spungy nahin banta tight ho gaya,Negative
kya chhene ki jagah amul paneer use kar sakte hai kya??? please bataye,Neutral
meri mom ko kuch nahi ata,Negative
mam bols fulne ke baad chipat ho gaye,Negative
kabita ras malai uper se bhurbhuri andr se hard bni milk 2prsnttha usa rahty hai cornflour dala kmi kya thi,Negative
nice clearly understand bhabi ji,Positive
thank you mam sach me aap jaise bate ho smajh me ajata h or waise hi bna liya maine god bless you god make a new for you,Positive
itna ache se kon batata hai mam ❤❤pahle bar mai kise ko youtube pe subscribe ki hu,Positive
yaamy and delicious chasma ras malai ki recipe share karne ke liya so many thanks,Positive
jo log aisa recipe banatey hain youtube pay wo ghar waley kitney khush naseeb hain roz new dish khaney milti hai kon kon agree hai ye baat se like karo,Positive
tq so much mam mere hathse pehli baar parfect rasgulla bana hai,Positive
mera nahi bna shi,Negative
mam meri ramali mai mitha nahi ho raha,Negative
mam kiraye per room milega??? khane ki tnsn khtm,Neutral
mam rasgulle ki chasni mai paka sakte hain,Neutral
very beautiful recipe mam i will definitely try it❤ thank you mam ap bahut ache se samjhate ho aur ase samjhate ho ke easy lagne lagta hai process har recipe me thank you again ❤,Positive
bahut easy way me samjhaya aap ne madam maine banaya aur bahut hi badhiya bana h than q so much u r awesome,Positive
aapke ghar wale ghar p hi 7 star ka maze le rhe hai,Positive
easy way mai btaya thnku ❤,Positive
bhagwan aisi bhabhi sabhi ko de,Positive
wow mam maine ise wase he banaya jaise aapne bataya aur mam kya tasty bana tha i love it ❤thank you mam,Positive
rabdi ke pede mere boil karte tym thode fat jaate hai mash mai krti hu barabar plz eske baare me bataeye mam,Negative
corn flour agr na mil paye to kch option h kya,Neutral
maza aa gya,Positive
u speak as if jaise airport pe kuch announcement ho rahi ho,Positive
bhut acha tareeka so thanks mam,Positive
humare mann me questions aata h ap uska ans just dedete ho,Positive
apki aawaj best lgti h aap har chij ko bhot simple tarike se batate ho u are best,Positive
it was yummy pehli baar try kiya result are so amazing,Positive
vinegar ke place pe fitkari use kar sakte h kya,Neutral
khane ke liye 10 min or banane k liye 2 hours good,Negative
wow what a language skills bhenji rasmalai is sooo sweet your voice delivery also sweet,Positive
wa mam bahut khub,Positive
pls help me meri rasmalai kachi reh gyi dudh m dalne ke bad chack kiya to andr se kachi lg ri h,Negative
ek din mujh bi bulao dawat pe,Positive
pehle se phate huye doodh ka nahi bn skta hai kya?,Neutral
agar jyada quantity ho to wahi chachni second lot ke paneer balls boil karne ke liye use kar sakte hai kya ussee chachni gadhi to nahi hogi aur usme aur sugar add karni padegi kya,Neutral
ghar walo ki maza hai roz roz mst khana vo bhi free,Positive
ma am apne 2 liter dudh ko alg alg use kiya h to 1 liter me banana ho to adhe adhe liter dudh use krna ho to???,Neutral
kya hum bazaar se layi hui paneer use kr skte hai???,Neutral
mam dud se bnai tiki hmne pani main dali to wo fat c gai hmne guna bhi bht jada or corn flor v dala bt fir v asha ni bna,Negative
bhkkk bc topic dete kya h vedio m batate kya h,Negative
mam bajar ka paneer use kar sakte h or cornflour na ho to maida use kar sakte hai,Neutral
6 ghante bad khana padega??,Neutral
hi maam chena ball soft nahi hue aisa kiyu maine same method se banae,Neutral
thxxx mam maine apki video dekh kar bnai bahut e taste bani,Positive
maine kal hi try super se uper bana h mujhe to believe nahi ho rha h main ghar pe itna perfect rasmalai banai hu but mere pass cornflour nahi to maine nahi use kiya kuch bhi aur fitkiri se dudh ko phada tha but ek bhi rasmalai tuta na h thanks thanks thanks ❤ ❤ ❤ ❤ you are super mam kash mere pass apka no hota to apke sath pic share karti,Positive
rasmalai m anaj hota h kya or fast m kha sakhte h,Neutral
faqir 19 wali doodh ki packet,Negative
rabdi bnane ke liye packet ka milk use krskte hai na,Neutral
1 lit me kitne banati hai,Neutral
mene corn flour ki jagh meeda dala tha to mene rash gulle pure phat gye pura ghulge aab me kya karu plzzzzz help me,Negative
nice didi ham apko bahut samay se dekh rhe hain,Positive
mai bhi doob gayi rasmalai mai,Positive
aur aapke recipe k sare steps bahut hi acche hote h jinko kitchen ka k v nhii aata hoga woh v achi se aapki video dekh k bna lenge jaise ki mai thnk uu so much mam❤,Positive
aapki awaaz s bahut hi sukoon aur shanti milti h pta nhii q,Positive
aj mene rasmlai khai ik piec 35 rupes ☺,Positive
